,date,mean
876,2014-10-03,484.13
877,2014-10-02,482.22
878,2014-10-01,477.38
879,2014-09-30,477.28499999999997
880,2014-09-29,476.22249999999997
881,2014-09-26,473.37750000000005
882,2014-09-25,476.065
883,2014-09-24,478.22249999999997
884,2014-09-23,475.7525
885,2014-09-22,475.78499999999997
886,2014-09-19,480.97249999999997
887,2014-09-18,492.6925
888,2014-09-17,497.63
889,2014-09-16,499.15999999999997
890,2014-09-15,500.40999999999997
891,2014-09-12,504.97249999999997
892,2014-09-11,512.2850000000001
893,2014-09-10,524.16
894,2014-09-09,529.8175
895,2014-09-08,532.9725
896,2014-09-05,534.1600000000001
897,2014-09-04,532.5975
898,2014-09-03,545.4100000000001
899,2014-09-02,558.3475
900,2014-08-29,568.4425
901,2014-08-28,567.755
902,2014-08-27,557.5350000000001
903,2014-08-26,553.505
904,2014-08-25,558.255
905,2014-08-22,550.7825
906,2014-08-21,543.16
907,2014-08-20,542.315
908,2014-08-19,544.8775
909,2014-08-18,546.0025
910,2014-08-15,544.255
911,2014-08-14,532.9725000000001
912,2014-08-13,534.4100000000001
913,2014-08-12,541.565
914,2014-08-11,548.5975
915,2014-08-08,554.3175
916,2014-08-07,563.9425
917,2014-08-06,561.4425
918,2014-08-05,547.0675
919,2014-08-04,541.8175
920,2014-08-03,533.75
921,2014-08-01,534.8775
922,2014-07-31,529.0975
923,2014-07-30,524.5975
924,2014-07-29,527.2850000000001
925,2014-07-28,537.2850000000001
926,2014-07-25,532.88
927,2014-07-24,531.91
928,2014-07-23,526.6925
929,2014-07-22,528.7850000000001
930,2014-07-21,528.8475
931,2014-07-18,542.66
932,2014-07-17,545.3475
933,2014-07-16,538.91
934,2014-07-15,536.535
935,2014-07-14,532.2225
936,2014-07-11,537.0350000000001
937,2014-07-10,550.6925
938,2014-07-09,553.2825
939,2014-07-08,557.5350000000001
940,2014-07-07,569.5325
941,2014-07-06,579.5
942,2014-07-03,577.16
943,2014-07-02,574.005
944,2014-07-01,575.505
945,2014-06-30,582.3775
946,2014-06-27,589.6925
947,2014-06-26,584.63
948,2014-06-25,581.505
949,2014-06-24,584.47
950,2014-06-23,593.005
951,2014-06-20,588.8175
952,2014-06-19,590.4725000000001
953,2014-06-18,586.8475
954,2014-06-17,581.1275
955,2014-06-16,585.2850000000001
956,2014-06-13,587.255
957,2014-06-12,587.88
958,2014-06-11,597.005
959,2014-06-10,607.5975000000001
960,2014-06-09,616.285
961,2014-06-06,611.9725
962,2014-06-05,610.4725000000001
963,2014-06-04,614.0675
964,2014-06-03,617.1925
965,2014-06-02,622.1600000000001
966,2014-05-30,630.9725000000001
967,2014-05-29,636.315
968,2014-05-28,637.9425
969,2014-05-27,643.63
970,2014-05-23,656.755
971,2014-05-22,662.3175
972,2014-05-21,667.6925
973,2014-05-20,674.0025
974,2014-05-19,672.0350000000001
975,2014-05-16,676.7850000000001
976,2014-05-15,684.13
977,2014-05-14,699.315
